Time Stamp,Bitcoin,Etherium,Ripple,Litecoin,Monero
2018-03-03,10867.41,854.81,0.8926,311.01,311.01
2018-03-02,10729.14,864.14,0.9147,302.59,302.59
2018-03-01,10524.21,867.64,0.9046,292.44,292.44
2018-02-28,10590.57,871.38,0.9288,295.24,295.24
2018-02-27,10265.89,873.17,0.9369,287.7,287.7
2018-02-26,9439.12,826.85,0.89,266.23,266.23
2018-02-25,9768.14,830.19,0.8993,274.93,274.93
2018-02-24,10338.61,865.78,0.9526,289.03,289.03
2018-02-23,10032.91,813.74,0.8976,282.59,282.59
2018-02-22,10602.84,841.04,0.974,305.96,305.96
2018-02-21,11536.53,938.12,1.09,314.24,314.24
2018-02-20,11186.14,952.52,1.12,316.18,316.18
2018-02-19,10687.79,936.8,1.1,305.55,305.55
2018-02-18,10755.43,966.65,1.16,319.7,319.7
2018-02-17,10052.95,930.83,1.11,286.37,286.37
2018-02-16,9861.12,937.03,1.11,274.03,274.03
2018-02-15,9341.28,905.63,1.05,211.58,272.1
2018-02-14,8515.17,837.08,0.9807,156.34,229.93
2018-02-13,8671.28,854.8,1.03,156.69,241.62
2018-02-12,8444.29,848.62,1.01,154.6,238.77
2018-02-11,8365.57,837.54,1,152.22,244.44
2018-02-10,8342.97,844.08,0.8792,151.96,245.88
2018-02-09,8246.28,803.58,0.7466,143.2,237.86
2018-02-08,8206.06,818.73,0.7803,150.81,216.28
2018-02-07,7295.04,743.42,0.724,133.51,191.07
2018-02-06,7395.81,730.62,0.7186,133.71,188.42
2018-02-05,8431.97,857.37,0.8368,150.58,222.17
2018-02-04,9238.65,958.02,0.9522,145,247
2018-02-03,9028.23,963.15,0.9385,133.72,242.14
2018-02-02,9302.75,1070.5,0.9884,146.53,246.55
2018-02-01,10005.5,1096.01,1.1,160.17,274.09
2018-01-31,10343.85,1112.14,1.16,169.16,289.6
2018-01-30,11344.02,1185,1.3,181.48,320.48
2018-01-29,11672.48,1195.75,1.25,186.07,333.89
2018-01-28,11517.22,1090.78,1.24,181.85,326.45
2018-01-27,11053.79,1051.2,1.24,176.68,308.66
2018-01-26,11006.95,1027.36,1.28,175.31,308.5
2018-01-25,11108.34,1014.7,1.32,178.49,313.02
2018-01-24,10784.69,988.58,1.35,176.76,308.05
2018-01-23,10420.12,956.54,1.16,173.77,305.41
2018-01-22,11551.21,1054.58,1.38,189.67,344.95
2018-01-21,12570.12,1129.43,1.58,203.62,391.6
2018-01-20,11532.08,1044.02,1.57,192.22,325.12
2018-01-19,11931,1091.18,1.71,207.78,339.58
2018-01-18,9510.14,790.06,0.9133,143.35,244.75
2018-01-17,12169.87,1144.66,1.41,209.6,355.66
2018-01-16,14115.99,1319.82,1.82,239.76,413.51
2018-01-15,13201.85,1287.21,1.78,237.14,381.93
2018-01-14,14301.29,1355.29,2,243.67,405.46
2018-01-13,13650.52,1234.63,1.98,233.72,372.4
2018-01-12,13997.59,1221.78,2.18,237.46,378.13
2018-01-11,14418.4,1344.19,1.99,246.64,397.6
2018-01-10,14719.81,1198.53,2.28,251.99,424.03
2018-01-09,14507.63,1070.45,2.36,246.17,364.86
2018-01-08,16518.05,1090.65,2.78,279.29,412.76
2018-01-07,16631.51,1007.32,2.73,285.99,374.96
2018-01-06,16064.74,977.16,2.64,246.35,360.93
2018-01-05,14547.96,987.56,2.97,230.58,362.18
2018-01-04,15101.47,879.81,2.59,249.11,379.35
2018-01-03,13753.62,866.28,2.1,251.64,359.77
2018-01-02,13281.49,748.01,1.9,224.68,330.64
2018-01-01,13334.91,726.5,1.93,219.82,325.33
2017-12-31,12528.97,686.36,2.1,211.47,296.97
2017-12-30,14519.81,746.32,1.58,248.76,358.68
2017-12-29,14213.07,710.29,1.26,246.84,346
2017-12-28,15327.44,738.84,1.14,266.93,361.41
2017-12-27,15746.46,744.23,0.9942,275.52,351.25
2017-12-26,13741.41,718.27,0.9768,270.72,331.86
2017-12-25,13004.88,636.98,0.9019,262.41,303.75
2017-12-24,14786.65,716.01,1.01,295.96,360.61
2017-12-23,12966.9,631.68,0.9358,239.51,302.35
2017-12-22,15366.52,771.07,0.9218,294.34,382.52
2017-12-21,16515.96,791.73,0.7014,307.79,416.24
2017-12-20,17846.96,824.54,0.7657,349.21,357.05
2017-12-19,18768.58,730.16,0.7172,317.59,353.49
2017-12-18,19437.42,715,0.7287,322.83,345.57
2017-12-17,18859.44,681.65,0.7382,291.14,313.48
2017-12-16,17601.88,690.72,0.792,310.37,309.36
2017-12-15,16412.28,690.91,0.6468,291.34,300.83
2017-12-14,16858.53,728.41,0.4538,324.24,314.86
2017-12-13,17069.31,623.8,0.2796,348.05,288.34
2017-12-12,16487.79,471.07,0.2425,177.17,258.77
2017-12-11,15446.69,450.41,0.2313,142.79,247.36
2017-12-10,14730.76,492.05,0.2419,159.79,260.54
2017-12-09,15482.34,447.08,0.2305,114.4,258.6
2017-12-08,15884.18,415.11,0.2073,94.47,245.16
2017-12-07,12495.74,428.23,0.229,99.06,271.52
2017-12-06,11822.43,458.55,0.2387,101.94,234.09
2017-12-05,11386.37,462.28,0.243,98.4,195.83
2017-12-04,11741.22,477.67,0.2538,103.56,203.11
2017-12-03,10755.31,452.89,0.242,99.07,184.86
2017-12-02,10549.32,449.57,0.2427,92.28,186.1
2017-12-01,9277.8,406.88,0.222,78.32,157.47
2017-11-30,10864.28,486.45,0.2614,99.36,189.98
2017-11-29,9900.1,468.53,0.2649,91.77,184
2017-11-28,9651.83,476.59,0.2465,91.08,164.53
2017-11-27,9109.51,458.29,0.2461,86.4,159.92
2017-11-26,8628.84,474.72,0.2506,84.67,168.67
2017-11-25,8172.68,452.06,0.2381,75.67,156.97
2017-11-24,8172.74,411.81,0.2426,76.23,163.13
2017-11-23,8233.34,365.4,0.235,71.17,153.15
2017-11-22,8348.94,370.25,0.2363,71.93,139.62
2017-11-21,8208.79,362.87,0.2411,72.01,134.73
2017-11-20,7758.25,357.43,0.2314,70.6,132.4
2017-11-19,7683.45,334.96,#ERROR!,67.45,129.03
2017-11-18,7962.68,333.25,0.2273,67.47,123.49
2017-11-17,7469.6,330.13,0.2462,63.75,121.54
2017-11-16,7250.14,326.8,0.2058,63.01,118.38
2017-11-15,6528.96,329.47,0.2029,61.42,121.81
2017-11-14,6654.17,313.06,0.1983,61.02,122.53
2017-11-13,6249.98,307.98,0.1964,59.32,129.98
2017-11-12,6339.6,302.13,0.2065,60.63,111.99
2017-11-11,6831.06,303.84,0.2069,61.14,108.04
